KAAM,770 AM,Garland,"DJRD Broadcasting, LLC",Adult Standards/Oldies
KRTG,88.3 FM,Carthage,"Houston Christian Broadcasters, Inc.",
KRTP,91.7 FM,Alpine,Marfa Public Radio,
KRTS,93.5 FM,Marfa,Marfa Public Radio Corporation,
KRTU-FM,91.7 FM,San Antonio,Trinity University,Jazz
KRUN,1400 AM,Ballinger,"Graham Brothers Communications, LLC",Country
KRVA,1600 AM,Cockrell Hill,"Lrad Media, LLC",Spanish
KRVA-FM,107.1 FM,Campbell,The Way Radio Group LLC,Oldies
KRVF,106.9 FM,Kerens,"LKCM Radio Licenses, L.P.",Country
KRVJ-LP,107.9 FM,Jacksonville,Centro Cristiano de Albanza,
KRVL,94.3 FM,Kerrville,"Foster Charitable Foundation, Inc.",Classic Rock
KRVP,91.5 FM,Falfurrias,"Oasis of Faith, Inc.",
KRXB,107.1 FM,Beeville,"Shaffer Communications Group, Inc.",Classic Rock
KRXT,98.5 FM,Rockdale,"KRXT, Inc.",Country
KRYH-LP,104.7 FM,Temple,"Power-Up Radio, Inc.",
KRYS-FM,99.1 FM,Corpus Christi,Capstar TX LLC,Country
KRZI,1660 AM,Waco,"M&M Broadcasters, Ltd.",Sports
KRZU,90.7 FM,Batesville,"Radio Bilingue, Inc.",
KSAB,99.9 FM,Robstown,Capstar TX LLC,Tejano
KSAG,103.3 FM,Pearsall,Wendolynn Tellez,
KSAH,720 AM,Universal City,"Alpha Media Licensee, LLC",Regional Mexican
KSAH-FM,104.1 FM,Pearsall,"Alpha Media Licensee, LLC",Regional Mexican
KSAM-FM,101.7 FM,Huntsville,"HEH Communications, LLC",Country
KSAP-LP,96.9 FM,Port Arthur,Truth and Education,
KSAQ,102.3 FM,Charlotte,Peter J. Salazar d/b/a Salazar Consulting,
KSAU,90.1 FM,Nacogdoches,Stephen F. Austin State University,College
KSBJ,89.3 FM,Humble,KSBJ Educational Foundation,Contemporary Christian
KSCH,95.9 FM,Sulphur Springs,"East Texas Broadcasting, Inc.",Country
KSCN,96.9 FM,Pittsburg,"East Texas Broadcasting, Inc.",Country
KSCK-LP,100.5 FM,Sterling City,Concho Valley Fellowship,Classic Country
KSCS,96.3 FM,Fort Worth,Radio License Holdings LLC,Modern Country
KSEM,106.3 FM,Seminole,"Gaines County Broadcasting, LLC",Country
KSET,1300 AM,Lumberton,"Proctor-Williams, Inc.",
KSEV,700 AM,Tomball,Patrick Broadcasting LP,News/Talk
KSEY,1230 AM,Seymour,Mark V. Aulabaugh,Sports
KSEY-FM,94.3 FM,Seymour,Mark V. Aulabaugh,Country
KSFA,860 AM,Nacogdoches,"Townsquare Media Lufkin License, LLC",News/Talk
KSGR,91.1 FM,Portland,"Coastlands Radio, Inc.",Religious
KSGS-LP,99.9 FM,Rio Grande City,Benedictine Sisters of the Good Shepherd,
KSHJ,1430 AM,Houston,La Promesa Foundation,
KSHN,99.9 FM,Liberty,Trinity River Valley Broadcasting Co.,Adult Contemporary
KSHU,90.5 FM,Huntsville,Sam Houston State University,Variety
KSIF,91.7 FM,Wellington,La Promesa Foundation,
KSII,93.1 FM,El Paso,"Townsquare Media of El Paso, Inc.",Hot Adult Contemporary
KSIX,1230 AM,Corpus Christi,"Sportsradiocc, LLC",Sports Talk
KSJT-FM,107.5 FM,San Angelo,La Unica Broadcasting Co.,Regional Mexican
KSKY,660 AM,Balch Springs,"Bison Media, Inc.",News/Talk
KSLI,1280 AM,Abilene,"Townsquare Media Abilene License, LLC",
KSLR,630 AM,San Antonio,"Salem Media of Texas, Inc.",Christian
KSMG,105.3 FM,Seguin,"Cox Radio, Inc.",Adult Contemporary
KSML,1260 AM,Diboll,Kasa Family Limited Partnership,Talk
KSML-FM,101.9 FM,Huntington,Kasa Family Limited Partnership,Spanish Variety
KSNY,1450 AM,Snyder,Snyder Broadcasting Company,
KSNY-FM,101.5 FM,Snyder,Snyder Broadcasting Company,Country
KSNZ,102.1 FM,Shamrock,Panther Communications LLC,
KSOC,94.5 FM,Gainesville,"Radio One Licenses, LLC",Classic Hip Hop
KSOX,1240 AM,Raymondville,Vision Hispana Incorporated Internacional,
KSQX,89.1 FM,Springtown,CSSI Non-Profit Educational Broadcasting Corporation,Oldies
KSSL,107.3 FM,Post,BWB,
KSSM,103.1 FM,Copperas Cove,"Townsquare Media Bloomington License, LLC",Urban Adult Contemporary
KSST,1230 AM,Sulphur Springs,Hopkins County Broadcasting Co.,Oldies
KSTA,1000 AM,Coleman,Tackett-Boazman Broadcasting LP,Country
KSTB,101.5 FM,Crystal Beach,Cumulus Licensing LLC,Silent
KSTV,1510 AM,Stephenville,"CCR-Stephenville III, LLC",Spanish Variety
KSTV-FM,93.1 FM,Dublin,"CCR-Stephenville III, LLC",Country
KSTX,89.1 FM,San Antonio,Texas Public Radio,News/Talk
KSUR,88.9 FM,Mart,American Family Association,
KSVE,1650 AM,El Paso,"Entravision Holdings, LLC",
KSWA,1330 AM,Graham,"Affiliated Media, Inc. FCC Trust",Country
KSWP,90.9 FM,Lufkin,Lufkin Educational Broadcasting Foundation,Contemporary Christian
KSXT,90.3 FM,Smiley,Hispanic Christian Communications,
KSYM-FM,90.1 FM,San Antonio,San Antonio College,Variety
KTAA,90.7 FM,Big Sandy,"Community Broadcasting, Inc.",Christian
KTAE,1490 AM,Austin,"Genuine Austin Radio, LP",Spanish Religious
KTAI,91.1 FM,Kingsville,"Texas A & M University, Kingsville",College/Oldies/Country/Hip-Hop/Rock & roll
KTAL-FM,98.1 FM,Texarkana,Access.1 Louisiana Holding Company LLC,Classic Rock
KTAM,1240 AM,Bryan,"Brazos Valley Communications, Ltd.",
KTBB,600 AM,Tyler,"Gleiser Communications, LLC",News-Talk & Sports
KTBB-FM,92.1 FM,Tyler,"Gleiser Communications, LLC",
KTBQ,107.7 FM,Nacogdoches,"Townsquare Media Lufkin License, LLC",Classic Rock
KTBZ-FM,94.5 FM,Houston,AMFM Texas Licenses LLC,Alternative Rock
KTCK,1310 AM,Dallas,Radio License Holding SRC LLC,Sports Talk
KTCK-FM,96.7 FM,Flower Mound,Radio License Holdings LLC,Sports Talk
KTCU-FM,88.7 FM,Fort Worth,Texas Christian University,Variety
KTCX,102.5 FM,Beaumont,Cumulus Licensing LLC,Urban Contemporary
KTDA,91.7 FM,Dalhart,American Family Association,
KTDH,89.3 FM,Dalhart,"Kanza Society, Inc.",
KTDR,96.3 FM,Del Rio,MBM Radio Del Rio LLC,Hot Adult Contemporary
KTEK,1110 AM,Alvin,"South Texas Broadcasting, Inc.",Business News/Talk
KTEM,1400 AM,Temple,"Townsquare Media Bloomington License, LLC",News/Talk/Sports
KTEP,88.5 FM,El Paso,University of Texas at El Paso,News Talk Information
KTER,90.7 FM,Rudolph,Faith Pleases God Church Corp.,Religious
KTEX,100.3 FM,Mercedes,Capstar TX LLC,Country
KTFM,94.1 FM,Floresville,"Alpha Media Licensee, LLC",Top 40 (CHR)
KTFS,740 AM,Texarkana,"Texarkana Radio Center Licenses, LLC",Country
KTFW-FM,92.1 FM,Glen Rose,"LKCM Radio Licenses, L.P.",Country
KTHP,103.9 FM,Hemphill,"Baldridge-Dumas Communications, Inc.",Classic Country
KTHT,97.1 FM,Cleveland,"Cox Radio, Inc.",Classic Country
KTJM,98.5 FM,Port Arthur,Liberman Broadcasting of Houston License LLC,Regional Mexican
KTKO,105.7 FM,Beeville,"Beeville Investments, LLC",Country
KTKR,760 AM,San Antonio,"CC Licenses, LLC",Sports
KTKX,106.7 FM,Terrell Hills,"Cox Radio, Inc.",Classic Rock
KTLT,98.1 FM,Anson,Cumulus Licensing LLC,Sports
KTLU,1580 AM,Rusk,Emmett H. Whitehead,Classic Hits
KTLZ,89.9 FM,Cuero,The Worship Center of Kingsville,Religious
KTMR,1130 AM,Converse,Siga Broadcasting Corporation,Business News/Talk
KTMU,88.7 FM,Muenster,South Central Oklahoma Christian Broadcasting Inc.,Southern Gospel
KTNO,1440 AM,University Park,"Inspiration Media of Texas, LLC",Spanish Christian
KTNZ,1010 AM,Amarillo,"Tejas Broadcasting Ltd., LLP",Country
KTON,1330 AM,Cameron,"M&M Broadcasters, Ltd.",News/Talk
KTOT,89.5 FM,Spearman,"Kanza Society, Inc.","Public radio; News, Classical Music, Jazz"
KTPR,89.9 FM,Snyder,Scurry County Junior College District,
KTRG,94.1 FM,Hooks,Freed AM Corp.,Sports
KTRH,740 AM,Houston,AMFM Texas Licenses LLC,News/Talk
KTRL,90.5 FM,Stephenville,Tarleton State University,Public Radio
KTSA,550 AM,San Antonio,"Alpha Media Licensee, LLC",News/Talk
KTSM,690 AM,El Paso,"CC Licenses, LLC",News/Talk
KTSM-FM,99.9 FM,El Paso,"CC Licenses, LLC",Adult Contemporary
KTSU,90.9 FM,Houston,Texas Southern University,College Radio/Jazz
KTSW,89.9 FM,San Marcos,Texas State University-San Marcos,Alternative Rock
KTTU-FM,104.3 FM,Brownfield,"Ramar Communications, Inc.",Sports
KTTX,106.1 FM,Brenham,"Tom S. Whitehead, Inc.",Country
KTTY,105.1 FM,New Boston,"Texarkana Radio Center Licenses, LLC",Classic Hits
KTTZ-FM,89.1 FM,Lubbock,Texas Tech University,Public Radio
KTUX,98.9 FM,Carthage,"Townsquare Media Shreveport License, LLC",Album Oriented Rock
KTWL,105.3 FM,Hempstead,Roy E. Henderson,Country
KTXB,89.7 FM,Beaumont,"Family Stations, Inc.",Christian
KTXC,104.7 FM,Lamesa,"KWES License Company, LLC",
KTXG,90.5 FM,Greenville,American Family Association,Christian Radio
KTXI,90.1 FM,Ingram,Texas Public Radio,News/Talk/Classical
KTXJ-FM,102.7 FM,Jasper,"Cross Texas Media, Inc.",Southern Gospel
KTXK,91.5 FM,Texarkana,Texarkana Community College,Public Radio
KTXM,99.9 FM,Hallettsville,"Kremling Enterprises, Inc.",Country
KTXN-FM,98.7 FM,Victoria,Broadcast Equities Texas Inc.,Adult Hits
KTXO,94.7 FM,Goldsmith,"West Texas Broadcasting, LLC",Classic Country
KTXP,91.5 FM,Bushland,"Kanza Society, Inc.","Public Radio; News, Classical Music, Jazz"
KTXT-FM,88.1 FM,Lubbock,Texas Tech University,Public Radio
KTXV,890 AM,Mabank,"Bustos Media Holdings, L.L.C.",
KTXX-FM,104.9 FM,Dripping Springs,Total Austin Sports Radio LLC,Sports/Classic Hits
KTXZ,1560 AM,West Lake Hills,"Encino Broadcasting, LLC",Tejano
KTYL-FM,93.1 FM,Tyler,"Townsquare Media Tyler License, LLC",Hot Adult Contemporary
KTYR,89.7 FM,Trinity,Aleluya Broadcasting Network,
KUBR,1210 AM,San Juan,Paulino Bernal,Spanish Christian
KUHA,91.7 FM,Houston,University of Houston System,Classical
KUHF,88.7 FM,Houston,University of Houston System,National Public Radio
KUKA,105.9 FM,San Diego,"Claro Communications, Ltd.",
KULF,1090 AM,Bellville,"JLF Communications, LLC",Spanish
KULL,100.7 FM,Abilene,"Townsquare Media Abilene License, LLC",Classic Hits
KULM-FM,98.3 FM,Columbus,Roy E. Henderson,Country
KULP,1390 AM,El Campo,"Wharton County Radio, Inc.",
KUNO,1400 AM,Corpus Christi,Capstar TX LLC,Spanish Adult Hits
KURV,710 AM,Edinburg,MBM Texas Valley LLC,News/Talk
KUSJ,105.5 FM,Harker Heights,"Townsquare Media Bloomington License, LLC",Country
KUT,90.5 FM,Austin,The University of Texas at Austin,Public Radio
KUTX,98.9 FM,Leander,The University of Texas at Austin,Adult Album Alternative
KUVA,102.3 FM,Uvalde,MBM Radio Uvalde LLC,Tejano
KUZN,105.9 FM,Centerville,Aleluya Broadcasting Network,Spanish Religious
KVCE,1160 AM,Highland Park,"Dallas Broadcasting, LLC",Business News/Talk
KVDG,90.9 FM,Midland,La Promesa Foundation,Religious
KVED,88.5 FM,Vernon,Top O' Texas Educational Broadcasting Foundation,
KVER,91.1 FM,El Paso,"World Radio Network, Inc.",Spanish Religious
KVET,1300 AM,Austin,Capstar TX LLC,Sports
KVET-FM,98.1 FM,Austin,Capstar TX LLC,Country
KVFE,88.5 FM,Del Rio,"World Radio Network, Inc.",
KVFM,91.3 FM,Beeville,Paulino Bernal Evangelism,Spanish
KVHI,88.7 FM,Raymondville,Vision Hispana Incorporated Internacional,
KVHL,91.7 FM,Llano,Texas Public Radio,
KVHR,91.5 FM,Van Horn,American Family Association,
KVIC,104.7 FM,Victoria,"Victoria Radioworks, LLC",Top 40 (CHR)
KVIL,103.7 FM,Highland Park-Dallas,CBS Radio Texas Inc.,Adult Contemporary
KVIV,1340 AM,El Paso,El Paso y Juarez Companerismo-Cristiano,Spanish Variety
KVJM,103.1 FM,Hearne,"Clear Channel Broadcasting Licenses, Inc.",Contemporary Hits
KVJS,88.1 FM,Arroyo,Believers International Broadcasting,
KVJY,840 AM,Pharr,MBM Texas Valley LLC,
KVLF,1240 AM,Alpine,"Big Bend Broadcasters, Inc.",
KVLG,1570 AM,La Grange,"KBUK Radio, Inc.",Country
KVLJ-LP,99.5 FM,Victoria,Jesus es Senor,
KVLL-FM,94.7 FM,Wells,"Townsquare Media Lufkin License, LLC",Adult Contemporary
KVLR,92.5 FM,Sunset Valley,Educational Media Foundation,Contemporary Christian
KVLT,88.5 FM,Temple,"American Educational Broadcasting, Inc.",
KVLU,91.3 FM,Beaumont,Lamar University,Public/College
KVLW,88.1 FM,Gatesville,"American Educational Broadcasting, Inc.",
KVLY,107.9 FM,Edinburg,"Entravision Holdings, LLC",
KVMC,1320 AM,Colorado City,"Jimlin Broadcasting, Inc.",Country
KVMV,96.9 FM,Mcallen,World Radio Network,Religious
KVNE,89.5 FM,Tyler,"Educational Radio Foundation of East Texas, Inc.",Christian
KVNN,1340 AM,Victoria,"Victoria Radioworks, LLC",News Talk Information
KVNS,1700 AM,Brownsville,"Clear Channel Broadcasting Licenses, Inc.",Sports
KVOP,1090 AM,Plainview,"Rhattigan Broadcasting (Texas), LP",News/Talk
KVOU-FM,104.9 FM,Uvalde,MBM Radio Uvalde LLC,
KVOZ,890 AM,Del Mar Hills,Consolidated Radio,Spanish Christian
KVRK,89.7 FM,Sanger,"Research Educational Foundation, Inc.",Active Christian Rock
KVRP,1400 AM,Stamford,"1 Chronicles 14, L.P.",Christian Contemporary
KVRP-FM,97.1 FM,Haskell,"1 Chronicles 14, L.P.",Country
KVRT,90.7 FM,Victoria,"South Texas Public Broadcasting System, Inc.",
KVRX,91.7 FM,Austin,The University of Texas at Austin,Freeform
KVST,99.7 FM,Willis,"New Wavo Communication Group, Inc.",Country
KVTT,1110 AM,Mineral Wells,"Texoma Broadcasting, Inc.",
KVVO-LP,94.1 FM,Abilene,New Life Temple,
KVVT-LP,95.1 FM,Sulphur Springs,Centro de Adoracion,
KVWC,1490 AM,Vernon,"K V W C, Inc.",
KVWC-FM,103.1 FM,Vernon,"KVWC, Inc.",
KVWG-FM,95.3 FM,Dilley,Univision Radio License Corporation,Classic Country
KWAS,88.7 FM,Borger,Top O' Texas Educational Broadcasting Foundation,Religious
KWBC,1550 AM,Navasota,Bryan Broadcasting License Corporation,Country
KWBT,94.5 FM,Waco,"Kennelwood Broadcasting Company, Inc.",Urban Contemporray
KWBU-FM,103.3 FM,Waco,Brazos Valley Public Broadcasting Foundation,Classical Music/NPR
KWBY-FM,98.5 FM,Ranger,"High Plains Radio Network, LLC",Classic Rock
KWED,1580 AM,Seguin,"Guadalupe Media, Ltd.",Country
KWEL,1070 AM,Midland,"CDA Broadcasting, Inc.",News/Talk
KWFB,100.9 FM,Holliday,KIXC-FM L.L.C.,Adult Hits
KWFR,101.9 FM,San Angelo,"Foster Communications, Inc.",Classic Rock
KWFS,1290 AM,Wichita Falls,"Townsquare Media Wichita Falls License, LLC",News/Talk
KWFS-FM,102.3 FM,Wichita Falls,"Townsquare Media Wichita Falls License, LLC",Country
KWHI,1280 AM,Brenham,"Tom S. Whitehead, Inc.",Full Service
KWJB,1510 AM,Canton,"Butler7Media, LLC",Classic Country
KWKC,1340 AM,Abilene,"Canfin Enterprises, Inc.",News/Talk
KWKQ,94.7 FM,Graham,"Affiliated Media, Inc. FCC Trust",Classic Hits
KWLD,91.5 FM,Plainview,Wayland Baptist College,
KWMC,1490 AM,Del Rio,Minerva Garza Valdez,Oldies
KWMF,1380 AM,Pleasanton,La Promesa Foundation,Catholic
KWNS,104.7 FM,Winnsboro,Lottie L. Foster,Southern Gospel
KWOW,104.1 FM,Clifton,"Waco Entertainment Group, LLC",Regional Mexican
KWPW,107.9 FM,Robinson,"Waco Entertainment Group, LLC",Contemporary Hit Radio
KWRA-LP,96.7 FM,Waco,Amistad Baptist Church,
KWRD,1470 AM,Henderson,Hanszen Broadcasting,Sports
KWRD-FM,100.7 FM,Highland Village,"Inspiration Media of Texas, L.L.C.",
KWRW,97.7 FM,Rusk,E. H. Whitehead,Classic Hits
KWSK-LP,92.7 FM,Daingerfield,"KWS Broadcasting Educational Foundation, Inc.",
KWSP-LP,104.9 FM,Kerrville,"Home Town Communication, Inc.",
KWTS,91.1 FM,Canyon,West Texas A&M University,
KWTX,1230 AM,Waco,Capstar TX LLC,News/Talk
KWTX-FM,97.5 FM,Waco,Capstar TX LLC,Top 40 (CHR)
KWUP,92.5 FM,Navasota,KSBJ Educational Foundation,// KSBJ
KWWJ,1360 AM,Baytown,"Salt of the Earth Broadcasting, Inc.",
KXAF,97.9 FM,George West,Hispanic Target Media Inc.,
KXAI,103.7 FM,Refugio,Educational Media Foundation,Country
KXAK-LP,107.5 FM,Pittsburg,Pittsburg Broadcasting Club,
KXAL-LP,104.7 FM,Chalk Hill Community,The Church at Lake Cherokee,Oldies/Adult Standards
KXAM,102.5 FM,San Diego,Hispanic Target Media Inc.,
KXAX-LP,104.3 FM,Shepherd,HGN Music & Education Foundation,
KXBJ,96.9 FM,El Campo,KSBJ Educational Foundation,// KSBJ
KXBT,88.1 FM,Somerville,The University of Texas at Austin,Public Radio
KXCS,105.5 FM,Coahoma,"Weeks Broadcasting, Inc.",Christian
KXDJ,98.3 FM,Spearman,Chris Samples Broadcasting,Country
KXEZ,92.1 FM,Farmersville,"Metro Broadcasters - Texas, Inc.",Country
KXFS,93.7 FM,Rankin,Hispanic Target Media Inc.,
KXGL,100.9 FM,Amarillo,JMJ Broadcasting Company Inc.,Classic Hits
KXHM,106.1 FM,Refugio,Hispanic Target Media Inc.,
KXIT,1240 AM,Dalhart,"Rogco Family I, LLC",
KXJT,88.3 FM,Rio Grande City,Colonias Unidas,
KXLV,89.1 FM,Amarillo,Educational Media Foundation,
KXMP,88.9 FM,Blowout,Jonah Creek Media,
KXOI,810 AM,Crane,"Hispanic Outreach Ministries, Inc.",Spanish
KXOX,1240 AM,Sweetwater,"Stein Broadcasting Co, Inc.",Country
KXOX-FM,96.7 FM,Sweetwater,"Stein Broadcasting Co., Inc.",
KXPL,1060 AM,El Paso,"New Radio System, Inc.",Spanish News/Talk
KXPN-FM,95.5 FM,Scotland,"LKCM Radio Group, L.P.",Sports
KXPW-LP,106.7 FM,Georgetown,Power Radio Corporation,
KXQJ,90.1 FM,Clarksville,"Fellowship Baptist Church of Blossom, Texas",
KXRI,91.9 FM,Amarillo,Educational Media Foundation,
KXSS-FM,96.9 FM,Amarillo,"Townsquare Media Amarillo License, LLC",
KXTI-LP,94.9 FM,Borger,"City of Borger, Texas",
KXTM,107.7 FM,Benavides,Minerva R. Lopez,
KXTN-FM,107.5 FM,San Antonio,Tichenor License Corporation,
KXTQ-FM,93.7 FM,Lubbock,"Ramar Communications, Inc.",
KXTR-LP,100.7 FM,Stephenville,Tarleton State University,
KXVI-LP,94.3 FM,Winfield,"JB Baltazar Ministries, Inc.",
KXVR-LP,107.9 FM,Corpus Christi,Comunidad Cristiana of Corpus Christi,
KXVX-LP,99.1 FM,Sulphur Springs,"New Life Media Ministries, Inc.",
KXWF-LP,107.9 FM,Wichita Falls,Comunidad Cristiana of Wichita Falls,
KXWT,91.3 FM,Odessa,Marfa Public Radio,Public radio
KXXE,92.5 FM,San Augustine,"Center Broadcasting Company, Inc.",Country/Regional Mexican
KXXF,105.3 FM,Winnie,"Excel Media, L.L.C.",Free Flow Format
KXXM,96.1 FM,San Antonio,"CC Licenses, LLC",Top 40 (CHR)
KXXN,96.3 FM,Iowa Park,"KIXC-FM, LLC",Urban Adult Contemporary
KXYL,1240 AM,Brownwood,Tackett-Boazman Broadcasting LP,News-Talk
KXYL-FM,102.3 FM,Coleman,Tackett-Boazman Broadcasting LP,News-Talk
KXYZ,1320 AM,Houston,"Multicultural Radio Broadcasting Licensee, LLC",Vietnamese
KXZX-LP,106.5 FM,Juilliard,Comunidad Cristiana of Amarillo,
KXZY-LP,100.7 FM,Waco,Primera Asamblea de Dios,
KYAR,98.3 FM,Lorena,Educational Media Foundation,
KYBI,100.1 FM,Lufkin,Kasa Family Limited Partnership,Country
KYBJ,91.1 FM,Lake Jackson,KSBJ Educational Foundation,
KYCL-FM,88.9 FM,Clarendon,"Templo de Dios, Inc. 1",
KYDA,101.7 FM,Azle,Educational Media Foundation,Christian Rock
KYFA-FM,91.5 FM,Ginger,Central Park Church of God,
KYFB,91.5 FM,Denison,"Bible Broadcasting Network, Inc.",Religious
KYFP,89.1 FM,Palestine,"Bible Broadcasting Network, Inc.",Religious
KYFS,90.9 FM,San Antonio,"Bible Broadcasting Network, Inc.",Religious
KYJC,91.3 FM,Commerce,"Penfold Communications, Inc.",
KYKM,94.3 FM,Yoakum,"Kremling Enterprises, Inc.",Country
KYKR,95.1 FM,Beaumont,Capstar TX LLC,Country
KYKS,105.1 FM,Lufkin,"Townsquare Media Lufkin License, LLC",Country
KYKX,105.7 FM,Longview,Access.1 Texas License Company LLC,Country
KYLP-LP,101.5 FM,Greenville,"Iglesia Cristiana Ebenezer of Greenville, TX",
KYLR,92.1 FM,Hutto,Educational Media Foundation,
KYND,1520 AM,Cypress,"Pro Broadcasting, Inc.",
KYOK,1140 AM,Conroe,"Martin Broadcasting, Inc.",
KYOX,94.3 FM,Comanche,"CCR-Stephenville III, LLC",Classic rock
KYQX,89.5 FM,Weatherford,CSSI Non-Profit Educational Broadcasting Corporation,Oldies
KYRK,106.5 FM,Taft,"Withers Family Texas Holdings, LP",Classic Hits
KYRQ,90.3 FM,Natalia,St. Jude Broadcasting,
KYRT,97.9 FM,Hunt,La Promesa Foundation,Silent
KYSE,94.7 FM,El Paso,"Entravision Holdings, LLC",Regional Mexican
KYST,920 AM,Texas City,"Hispanic Broadcasting, Inc.",Spanish News/Information/Sports
KYTY,810 AM,Somerset,"Maranatha Broadcasting, Inc.",
KYXX,94.3 FM,Ozona,"Foster Charitable Foundation, Inc.",Classic Country
KYYI,104.7 FM,Burkburnett,Cumulus Licensing LLC,Classic Rock
KYYK,98.3 FM,Palestine,"Tomlinson-Leis Communications, L.P.",Country
KYYW,1470 AM,Abilene,"Townsquare Media Abilene License, LLC",News/Talk
KYZQ,88.3 FM,Mount Pleasant,South Central Oklahoma Christian Broadcasting Inc.,
KYZS,1490 AM,Tyler,"Gleiser Communications, LLC",Sports
KZAM,98.7 FM,Pleasant Valley,"South Texas FM Investments, LLC",Classic Hits
KZAR,97.7 FM,McQueeney,Educational Media Foundation,Christian Rock
KZBJ,89.5 FM,Bay City,KSBJ Educational Foundation,//KSBJ
KZBT,93.3 FM,Midland,"Townsquare Media Odessa-Midland II License, LLC",Rhythmic Top 40 (CHR)
KZDC,1250 AM,San Antonio,"Alpha Media Licensee, LLC",Sports
KZEE,1220 AM,Weatherford,"Tarrant Radio Broadcasting, Inc.",
KZEP-FM,104.5 FM,San Antonio,"Citicasters Licenses, Inc.",Rhythmic Contemporary
KZES-FM,91.3 FM,Estelline,"Templo de Dios, Inc. 1",
KZFM,95.5 FM,Corpus Christi,"Malkan Interactive Communications, L.L.C.",Rhythmic Contemporary
KZFT,90.5 FM,Fannett,American Family Association,Religious
KZHN,1250 AM,Paris,Larry Ryan d/b/a Eifel Tower Broadcasting,
KZIC,89.9 FM,Hondo,Ministerios Jovenes Derribando Fortalezas,
KZII-FM,102.5 FM,Lubbock,"Townsquare Media Lubbock License, LLC",Top 40 (CHR)
KZIP,1310 AM,Amarillo,"Tejas Broadcasting Ltd., LLP",
KZKL,90.5 FM,Wichita Falls,Educational Media Foundation,
KZLH-LP,95.7 FM,Zapata,Zapata Life and Health Radio,
KZLO,88.7 FM,Kilgore,Educational Media Foundation,
KZLV,91.3 FM,Lytle,Educational Media Foundation,
KZMP,1540 AM,University Park,Liberman Broadcasting of Dallas License LLC,
KZMP-FM,104.9 FM,Pilot Point,Liberman Broadcasting of Dallas License LLC,South Asian Music
KZNE,1150 AM,College Station,Bryan Broadcasting License Corporation,Sports
KZNX,1530 AM,Creedmoor,"America Telecommunications Group, Inc.",Sports
KZOS-LP,92.5 FM,San Marcos,City of San Marcos,
KZPS,92.5 FM,Dallas,AMFM Texas Licenses LLC,Classic Rock
KZQQ,1560 AM,Abilene,"Canfin Enterprises, Inc.",Sports Talk
KZQX,100.3 FM,Tatum,Chalk Hill Communications LLC,
KZRB,103.5 FM,New Boston,"B & H Broadcasting Systems, Inc.",Urban Contemporary
KZRF-FM,91.9 FM,Sulphur Springs,"Templo de Dios, Inc. 1",
KZRK-FM,107.9 FM,Canyon,Cumulus Licensing LLC,Active Rock
KZSP,95.3 FM,South Padre Island,MBM Texas Valley LLC,Tejano
KZTO-LP,107.3 FM,Burnet,Jesucristo La Roca Viva,
KZTX,91.1 FM,Encino,The Worship Center of Kingsville,
KZXL,96.3 FM,Hudson,"Pentagon Communications, LLC",Urban AC
KZXM,94.3 FM,Bullard,"Waller Media, LLC",
KZZA,106.7 FM,Muenster,Liberman Broadcasting of Dallas License LLC,Regional Mexican
KZZB,990 AM,Beaumont,"Martin Broadcasting, Inc.",Gospel
KZZM,101.7 FM,Mason,"III & W Broadcasting, LLC",
KZZN,1490 AM,Littlefield,Cody West,
WACO-FM,99.9 FM,Waco,Capstar TX LLC,Country
WBAP,820 AM,Fort Worth,Radio License Holdings LLC,News/Talk
WOAI,1200 AM,San Antonio,"CC Licenses, LLC",News/Talk
WRR,101.1 FM,Dallas,"City of Dallas, Texas",Classical
WTAW,1620 AM,College Station,Bryan Broadcasting License Corporation,News Talk Information
